,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
59,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Tu Quiere Chapiame - Tuquierechapiame,25,152525,5Uks6VIHmWLNoamsvD9Fuh
60,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,En Filita Cooperando - Remix,58,251612,5hG3xtRax4lX4gUTbK1UkP
61,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Limonada Coco - Remix,53,216816,69I3KzUSur7pT3p8z7jhk5
62,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Flow Pesao - Remix,52,275391,2ecaPx5QDfsxGUThU6rHUZ
63,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Bum Bam Ven - Remix,52,230000,41ezMG36bvrbJaJpvlbDFf
64,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,En Filita Cooperando,47,164516,39BWAAsvNEM87UsDsL1DM5
65,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,De Naranja,47,229565,3C7ErK9zTcj1rpXhyH4eBG
66,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,No Lo Vendo - Remix,44,279183,5ldrlXHvzAb1oBgbQJa4bk
67,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Bum Bam Ven,44,196140,5XqekpV3dsMMTPl4YQGtpo
68,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Fufu Papa,44,212903,3m7vxaQ2h9z94Rq4OjVift
69,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Pasate - Remix,44,193394,3X07aZDNVHZAqRevgAJtdd
70,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,En Filita Cooperando - Remix,58,251612,5hG3xtRax4lX4gUTbK1UkP
71,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Mi Bebé,54,223000,0HpiLpKXNfkWW47IIcQIEx
72,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Influencer,50,194813,3R8amwNn7AXd6czI6fUb8W
73,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Soporto,50,136000,4DmfmjQziKh2Af22X6ZJkP
74,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Pa' Que Sufran,49,199000,7B0eMeHAMbxbCTamE5us8J
75,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,La Mejor Noche,48,207894,2cwUACZn05NitDxsFnNSfB
76,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Mensaje Directo (DM),47,220706,7oJzEtK0F1FT0cFIPNOPY6
77,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Que Me Diran,47,185211,7u7wa5ElLqFlunGtvUniJv
78,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Foke To 3,47,162500,24FgZSdBaQXXpN0VuYSTDc
79,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Donde Te Metes,45,156500,20OHBUEU5ugofGDpd2KYTf
80,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,En Filita Cooperando - Remix,58,251612,5hG3xtRax4lX4gUTbK1UkP
81,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Me Subo Arriba,43,208147,0rmJCeOoTH673NPxw4CiqM
82,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Tengo Derecho,40,210880,4LgYL1ttItQJgEnmHY9wST
83,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Salao,38,226587,7MiA3RtXtEiPR8lEMI0i4G
84,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Cama Vacía,37,216812,4J0dwMGNLmX4l59xRisiNT
85,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Su Favorita,35,178666,1ZuBUBl4LwU0TLUbC5rkNJ
86,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Que Me Den Banda,34,217986,7lRTSUr5aLu2cBcRcJpfHk
87,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Yo Soy Esa,33,209067,4RcMzaO0T8rP1cZfqayTpU
88,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Cual Es la Vaina,31,184945,3eDJUJq4AWZV7tACznMhXJ
89,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Dime Linda Te Llenaste de Odio,29,220000,0N7nbqVY4HgoQnyaoADmAM
90,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Watch Out (feat. Fetty Wap),53,117053,7HR7MpHKZpnmdC7CVEhePh
91,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Knock Out,53,195596,6YRH8zh2KMbltmbSf4Qe1d
92,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Perra (Remix),50,282410,6m4hIAkxRTeJDPV6XsoBNR
93,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Siga Boyando,47,250510,3pfmXyxD0SzpVVMjK57x1r
94,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Serrucho Amolao,45,232151,1kzs05g4L7sADL1JCBVH1s
95,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Contento,45,218406,7bDeSxA38xU0P1Pzot3WQm
96,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Que Te Pica,44,140494,4CwzrnPwasFox12WLTz6Wf
97,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,"La Nota Se Me Encampana (with Tali Goya, Ceky Viciny, Quimico Ultra Mega & Shelow Shaq) - Remix",44,274840,43vpumD5K15N6Vb0kpuZCi
98,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Donde Estan,41,189522,1StjQHjCyI6xmC0Mihqmkl
99,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Tu Maldita Madre (Remix),41,275645,6P00nbm7byCND2pgWkNopd
100,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Dame Banda,56,244000,3lSjcTblaKRbx4aHWXMWCH
101,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Bum Bam Ven - Remix,52,230000,41ezMG36bvrbJaJpvlbDFf
102,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Papa Dios Me Dijo,50,212840,6E77ppZLfCPdrfbIK2KLI8
103,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Amaneci Contento,50,239480,6J7eGnU2ccuwac6P4YmOcy
104,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Real Guerrero - Remix,48,297368,0h94GnP9odhbOs6ph1UBqd
105,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Real Guerrero,47,220800,5hj6i8wM8jm2f5uWlCxw6I
106,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,De Amor Nadie Se Muere,47,228466,52eBBUJW8E0aRgKmSWoA05
107,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Te Siento En Para - Special Edition,45,194760,244KK3Gslw1YL0RmGt4zdA
108,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,Fufu Papa,44,212903,3m7vxaQ2h9z94Rq4OjVift
109,"Secreto ""El Famoso Biberon""",56,37UACiDcdzEYii0iU0QpAf,La Vuelta,44,284133,6gv565xQpiHTY32i9rouuh
110,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,La Calle es de Nosotros - Remix,59,250749,2jBlDIG1zQwF9XBQqxAv5O
111,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Trompeta,53,200808,6SFnPT4nfYpfVRaJJwvfQG
112,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Klonk - Remix,48,305823,4RG1T9AqbSmOBQlUpbY50s
113,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Wila Wila,48,157919,34XJSwPrx60AWVFNYDWwsS
114,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Tengo Una Mata - Remix,47,230955,3Kx9laDpGOK5nmuAMgALrf
115,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Ferrari - Remix,46,306409,71meXpIGrmV3Z2jUNnEv8l
116,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Vamo a da una Vuelta,46,194640,17dNvMfueWbOhNqMN2rRIm
117,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,El Mudo - Remix,46,234953,6NFYM779eoWZ59OOMi1qLp
118,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,Gatillero,45,185880,5h2E7FBk7BraDCjySJTV5y
119,Quimico Ultra Mega,64,3tZdknQnzsVIIdaGCTj4RX,No Lo Vendo - Remix,44,279183,5ldrlXHvzAb1oBgbQJa4bk
120,La Manta,51,3omyT5zHz9QmE63xEk10OV,Knock Out,53,195596,6YRH8zh2KMbltmbSf4Qe1d
121,La Manta,51,3omyT5zHz9QmE63xEk10OV,Que Me Importa,52,173322,4mkKxj7pc3QNCuiXZRP0qD
